1022,1022,1850,1815,1213,477,548,154,1623,138,769
444,444,1450,585,752,1660,1804,295,838,1701,370
748,748,1169,940,1246,995,812,1902,1821,1395,1414
1733,1733,1274,1427,103,1569,413,1843,755,109,1133
745,745,1446,1589,280,1254,440,998,1660,372,213
1238,1238,1212,1379,623,96,388,549,694,964,442
1832,979,860,1237,81,1020,1210,131,1106,378,1577
1914,1914,1151,89,741,817,967,950,602,1487,1767
946,1542,1954,1325,828,514,151,926,1779,63,993
63,850,489,1765,1663,1746,1410,555,1948,848,1756
1061,731,704,1087,612,1094,970,732,1642,1388,803
803,704,1642,1087,427,1555,1495,731,772,586,494
1897,1076,1897,844,1362,1340,1610,854,39,1025,1994
1682,1682,1069,1399,577,1446,1869,1852,740,487,1571
213,213,1402,1256,1896,332,1536,848,1474,968,293
1264,1264,512,7,884,1461,741,1465,1319,737,561
1734,1734,348,1648,1805,373,800,1911,369,353,1865
447,1986,447,905,1032,1443,1891,930,205,217,1329
1464,1310,1464,1989,1078,450,1015,4,1765,519,800
1653,1653,1232,41,788,1927,1648,858,1378,1801,1821
862,862,1070,1737,1256,1269,1402,601,1315,1186,1150
1296,1296,1998,411,1046,979,925,1063,442,1986,1991
1917,1917,415,955,1456,235,616,227,512,1457,167
976,976,1056,592,1211,1932,96,964,1946,364,496
1595,1595,1805,221,1115,1071,968,1911,805,1782,51
1628,1517,925,1628,1955,1346,1121,1026,1633,1700,1372
431,427,494,1555,704,590,586,1642,731,1874,1087
1593,1426,1019,1573,774,599,237,1905,717,1418,335
98,20,98,1602,1105,1346,1010,1111,915,1703,879
1747,1747,1564,303,1247,1031,1675,1425,992,734,1883
1910,1910,649,1982,1491,1409,1002,1370,91,950,860
1403,1800,1318,1497,199,1040,1403,1314,653,1096,1648
1838,1838,1418,1387,1250,1566,1048,1756,796,1877,1474
1732,1732,1148,979,1722,23,1296,189,256,950,602
159,971,1404,100,845,34,587,1113,1256,1402,333
1861,1861,457,1562,681,1456,227,1463,1288,588,706
305,305,489,1746,661,1777,1380,1707,796,946,1756
440,440,749,745,466,205,1894,1891,976,321,1437
1249,1249,1580,1633,413,965,605,1185,1569,1524,1568
813,573,813,1399,1718,483,776,15,24,608,1123
1176,1176,1118,252,396,670,502,1728,551,6,904
1270,1270,1045,1624,807,1710,1159,1540,5,1042,798
767,767,1493,1101,1563,1373,1731,29,1578,1269,1600
219,219,539,1934,1728,594,878,979,152,1118,927
1177,1177,718,969,36,642,1106,1831,160,1215,1884
110,110,162,1173,502,1055,125,1612,949,1853,822
858,858,60,215,434,38,1336,1497,308,788,1309
180,180,1068,1797,1545,7,19,1392,291,747,155
573,573,813,1872,1242,1889,1698,1534,1437,1263,1718
1887,101,1918,1510,325,1880,449,793,562,1017,1437
1158,924,843,1885,273,22,610,274,1418,560,1041
1221,1288,730,874,1861,611,681,740,1057,229,1103
457,1006,681,571,874,1584,215,1408,1057,429,1909
1450,1450,262,938,530,998,353,1557,1808,1320,423
574,574,293,127,1881,657,1295,1064,1505,65,100
1546,162,1546,365,988,1194,602,347,502,518,110
94,94,1229,838,140,1073,1744,257,1606,1728,1450
638,979,1277,718,1106,619,967,741,292,822,1016
744,744,488,1893,689,337,1331,1375,275,1479,1976
1601,1601,1044,1064,1505,648,696,855,484,574,561
1157,1157,1220,972,838,1223,659,900,139,1315,267
1952,1952,744,202,1549,403,1612,567,662,194,601
675,675,483,646,456,1237,291,311,148,239,1272
1021,1021,1392,1479,967,1016,1209,235,584,1569,394
1487,1487,634,199,1313,854,247,1193,918,275,346
290,1286,1746,1650,260,1543,775,712,714,821,1683
866,1043,866,938,1403,530,776,1489,1557,1320,1202
1987,1987,1871,909,1338,1313,1779,11,1269,138,154
686,686,1285,46,129,398,1939,1600,1765,217,1471
1385,1439,1385,853,271,1789,1779,938,241,993,889
1763,1763,442,28,958,378,81,1657,1360,1668,441
1307,1307,1390,631,568,1438,395,222,762,1925,1798
889,889,1907,1467,1505,1266,1637,938,909,35,1275
22,22,506,1445,373,1505,1250,461,294,1766,274
1697,1697,487,962,740,1216,1318,1573,121,1825,1096
1975,1975,840,1950,1545,291,180,1889,264,326,74
1900,1900,1202,875,1773,565,723,966,577,1591,1552
556,556,1882,612,704,1144,1495,1285,383,1017,1158
294,1505,949,294,1173,156,909,1206,125,7,502
1920,1920,1293,318,74,1512,239,579,904,1060,739
1159,980,168,1042,446,243,1488,1867,876,483,17
752,752,640,1680,1859,444,1571,423,977,33,727
1810,1810,427,1210,1874,1479,409,1657,1929,731,1016
700,700,609,19,561,1855,268,453,488,1501,1112
772,772,1667,1907,495,1090,685,1495,1087,112,1882
615,344,615,1179,1638,119,710,451,1134,1365,962
1386,1386,41,63,1533,483,848,1630,794,1704,1653
837,837,1744,251,202,1073,744,1610,94,437,771
833,833,751,464,1930,948,1100,149,900,641,372
581,144,811,237,1298,740,147,1631,1160,1203,1019
330,330,637,364,791,845,1056,941,1686,751,1446
538,620,1357,538,1366,1268,892,1611,1721,196,1480
515,515,869,1833,1784,1248,1211,208,1256,768,1793
113,113,1112,1372,888,390,619,781,1164,1150,666
1766,1766,1445,294,461,1762,373,171,1137,301,22
1979,1979,37,758,201,1843,1209,955,972,1042,599
303,1281,683,1175,1948,1103,876,489,1395,1902,1850
1060,1866,1060,579,1130,1024,965,729,335,1273,1659
1143,688,1035,397,1490,548,1085,861,1990,204,509
35,35,65,327,1635,1064,1766,867,100,22,843
1342,495,843,715,22,560,1812,273,1250,1260,1064
982,918,1428,1808,999,1178,1838,373,1953,1637,221
1034,1034,813,1927,770,1637,454,1412,388,1165,776
1625,1528,1625,1795,1913,1360,695,1617,1551,118,1098
542,542,306,1850,217,1426,549,764,69,587,978
1294,1294,606,143,1225,1213,577,1815,477,1299,146
944,944,473,1479,113,448,1220,1837,394,643,235
1318,1318,1800,237,884,276,930,1497,1314,1403,1706
911,1842,911,950,1830,867,979,36,1215,392,960
345,345,1562,457,1456,227,1917,1955,955,589,121
1215,1623,1774,861,1680,1245,1365,477,1069,717,1988
410,410,1315,488,1683,1193,478,1543,744,391,580
1209,1209,1893,275,488,235,1462,1993,584,1377,1955
1256,1256,757,419,1012,909,388,208,11,1401,1477
539,539,927,822,979,36,189,837,955,718,1479
605,1569,413,1633,1733,605,1274,311,1580,109,965
1884,869,845,208,1986,100,410,1032,1256,971,250
1366,1357,1366,1237,375,1105,456,1210,1668,1268,1760
571,571,195,36,1819,750,1208,189,1577,1739,1230
458,458,538,126,393,1346,1700,93,694,541,1063
989,989,1009,1641,945,815,1394,462,313,227,1309
372,372,745,1100,280,1589,321,663,1934,1728,1802
1972,1972,955,1409,972,252,654,1296,1016,966,1185
400,400,1567,1889,375,20,50,1147,1088,771,1334
1300,1817,1300,780,536,505,1238,339,872,10,328
1650,235,584,983,1650,1375,1936,139,25,404,1462
1848,735,1848,2,182,1694,1284,656,940,844,1003
36,370,1823,142,1484,1956,500,1161,683,714,1234
1241,904,1241,670,804,1974,1808,118,1587,1146,1766
1542,926,1224,91,1542,1427,1478,1325,163,993,99
1024,913,378,1590,1132,144,1024,853,54,164,240
848,943,1597,72,848,1798,1764,1766,373,808,14
1963,1963,1624,474,1358,99,337,725,1326,1664,462
104,1582,189,822,718,1277,377,1210,979,1506,1493
1349,1349,456,857,1841,1597,1237,1272,804,1263,1792
1547,1547,1269,206,236,547,136,403,531,662,473
80,80,1767,950,1847,1120,1052,1358,657,979,1544
393,393,1346,458,589,1436,538,1753,1679,1955,93
827,827,1528,96,1212,1913,1785,118,138,14,1593
987,987,1082,412,1220,532,498,1723,267,888,1502
1394,1472,1483,855,463,1282,1895,1305,717,61,599
1066,1066,1501,884,1561,692,975,1690,866,1291,1665
966,966,252,881,1112,1629,955,268,1659,1844,1859
841,825,491,506,274,384,1536,703,383,226,577
1867,144,1590,1867,1299,913,1203,1721,164,307,991
155,155,885,86,760,1306,1271,967,721,1227,432
1413,1413,1416,935,1584,1278,1460,572,1497,571,722
845,1884,488,741,689,208,1148,1526,100,955,337
634,634,741,1487,1313,544,100,1928,1012,1828,1899
306,865,306,316,1329,764,455,681,1086,321,466
329,329,1156,369,618,181,289,1422,1166,1398,1323
1225,955,1940,366,1904,1129,1884,131,1670,560,375
1803,1803,63,85,808,1838,999,1691,982,1442,1312
30,30,864,1437,1001,1330,1934,1413,1740,1552,719
699,699,1502,590,1300,1086,1050,1802,486,314,1548
245,927,539,245,631,1536,1112,244,881,1577,186
395,395,1962,1925,1211,1248,386,549,1833,614,317
1005,1005,438,89,967,1828,597,127,286,1970,1431
674,674,1461,1830,834,561,1356,1656,1264,246,512
1271,1271,747,1392,1277,1624,721,1929,474,394,189
1362,1819,1362,1896,1107,551,1911,1492,1670,428,1501
1237,1237,456,1349,1767,1529,1263,846,804,657,1841
177,177,997,939,153,1669,1487,1785,1266,312,1459
975,776,1698,975,339,238,730,750,948,1477,505
1058,1058,1641,692,49,232,953,469,373,475,13
1827,1298,144,740,121,1827,229,393,1955,1096,487
307,307,271,978,740,897,46,1488,1850,1867,1721
527,527,1830,512,1959,1027,1328,962,884,1457,1218
1699,1699,1322,1859,1701,313,1680,1841,252,752,977
1938,1938,1380,32,1436,1417,1781,786,199,1374,1394
678,678,58,315,588,1343,1396,1323,42,390,1907
701,701,1781,1071,1003,805,247,356,1805,43,1166
65,65,1818,1904,387,823,1297,1635,1191,1965,965
1551,1551,1528,695,516,1038,1795,1510,438,665,1761
922,1895,37,967,1979,1021,155,758,1472,436,717
1049,1049,445,628,1506,955,834,881,560,292,765
